BRANCH_ID,Account_No,Cutomer_ID,Started_Year,Started_Month,Current Credit Balance
CC25034,ACC100005454,VBENBARO,2013,4,228190
CC25035,ACC100026967,CCMEWNKY,2014,1,229976
CC25036,ACC100040113,VK3KGA9M,2015,6,297996
CC25037,ACC100080302,TT8RPZVC,2016,6,256329
CC25038,ACC100104482,SHQZEYTZ,2017,4,253460
CC25039,ACC100135795,MZZAQMPT,2013,4,215308
CC25040,ACC100175746,Y88TW36I,2014,9,122170
CC25041,ACC100184245,3UGOAQNU,2015,4,193306
CC25042,ACC100220970,VVUKMUJT,2016,4,437171
CC25043,ACC100223932,9R363ZXS,2017,7,669560
CC25044,ACC100290793,BLISM6JE,2013,10,203965
CC25045,ACC100410370,CH8S7JK7,2014,10,60705
CC25046,ACC100462080,EAHDPXEJ,2015,1,134083
CC25047,ACC100463209,BNUK9PRF,2016,9,225549
CC25048,ACC100473144,GP2PG6FJ,2017,9,28291
CC25049,ACC100525553,WNQCSN8A,2013,9,334533
CC25050,ACC100614541,32DN4YVZ,2014,7,302309
CC25051,ACC100619662,GXAMDANM,2015,6,813694
CC25052,ACC100623399,MXETLUP4,2016,7,9728
CC25053,ACC100638292,MPXK6TVE,2017,8,121182
CC25054,ACC100675094,LBSIME2K,2013,4,60287
CC25055,ACC100682458,D6ORJTM6,2014,9,131936
CC25056,ACC100691808,HGDIBAKA,2015,9,891594
CC25057,ACC100702975,UUZYL9DZ,2016,10,95608
CC25058,ACC100765644,AUGE3VWK,2017,1,143051
CC25059,ACC100842122,MX7GOX6Q,2013,8,107559
CC25060,ACC100956826,TQN6K35W,2014,8,138339
CC25061,ACC100997469,QQDRMQQN,2015,4,342475
CC25062,ACC100999992,UP6GC6F4,2016,9,224390
CC25063,ACC101028023,BMHBUVHB,2017,8,28956
CC25064,ACC101030473,KGLDW86A,2013,1,229349
CC25065,ACC101047515,FQEOMOP4,2014,6,313177
CC25066,ACC101050550,DYWM5MEU,2015,9,130701
CC25067,ACC101059939,DXHGXV8F,2016,9,300979
CC25068,ACC101138679,AVFBFQKC,2017,9,77121
CC25069,ACC101155461,DBIDKYMV,2013,7,684817
CC25070,ACC101179825,KYZHMEBY,2014,8,213484
CC25071,ACC101206400,SSFEBUGF,2015,4,114095
CC25072,ACC101214251,MGJTAG8X,2016,6,401584
CC25073,ACC101221610,MP6BERDO,2017,1,193990
CC25074,ACC101304792,GXZ8ED68,2013,1,343995
CC25075,ACC101308228,ICTFGWQR,2014,1,314336
CC25076,ACC101403044,EAYHTRKH,2015,7,268090
