Credit_Card_ID,Account_No,net_yearly_income,yearly_debt_payments,credit_limit,avg_percentage_credit_card_limit_used_2018,avg_percentage_credit_card_limit_used_2019,avg_percentage_credit_card_limit_used_2020,Exp_year,Exp_month
C5841053,ACC100005454,232640.53,14406.73,26524.4,0.49,0.84,0.72,2022,9
C2142763,ACC100026967,284396.79,57479.99,68998.72,1.03,0.77,0.47,2021,9
C4417068,ACC100040113,149419.28,21611.01,25187.8,0.82,0.97,0.91,2021,4
C5342380,ACC100080302,160437.54,28990.76,29179.39,0.82,0.79,1.05,2022,1
C9031234,ACC100104482,233480.37,54213.72,82331.82,0.8,0.86,0.96,2021,4
C1536588,ACC100135795,145295.56,40487.68,20346.31,0.53,0.64,0.73,2021,6
C7126560,ACC100175746,144028.05,24609.26,31383.4,0.89,0.76,1.01,2021,4
C1220223,ACC100184245,126638.58,40468.8,25486.65,0.57,0.66,0.57,2022,7
C8536061,ACC100220970,81034.46,19918.25,13458.33,0.52,0.67,0.63,2021,8
C6638934,ACC100223932,102395.81,26494.71,24354.25,0.83,0.75,0.78,2021,8
C5430833,ACC100290793,144878.09,24608.27,16461.58,0.64,0.77,0.8,2022,8
C6939838,ACC100410370,167984.52,14879.05,42386.49,0.6,0.94,NA,2021,8
C6339347,ACC100462080,63031.69,6288.37,14493.92,NA,0.51,0.72,2021,9
C8327851,ACC100463209,322141.34,62466.17,62304.81,0.77,0.88,0.99,2021,9
C7917151,ACC100473144,217724.79,79190.7,49519.6,0.86,0.62,0.6,2022,7
C8334633,ACC100525553,58427.13,4633.43,11437.73,0.82,0.89,0.74,2022,9
C1376215,ACC100614541,331056.3,54173.66,42229.25,0.59,0.81,0.55,2021,9
C8967349,ACC100619662,131257.4,16719.45,30113.15,0.69,0.99,0.78,2021,9
C3732016,ACC100623399,313988.37,47219.98,62226.54,0.62,0.66,NA,2021,9
C8999019,ACC100638292,177702.86,29103.1,22738.71,0.61,0.47,0.89,2022,9
C6121429,ACC100675094,99248.19,22292.2,14253.68,0.36,0.54,0.63,2022,10
C4511244,ACC100682458,184358.03,29929.85,65143.75,NA,1.05,0.88,2021,4
C7018081,ACC100691808,319053.15,36393.39,51644.05,0.65,0.62,0.7,2022,1
C5830215,ACC100702975,283654.94,36459.65,43858.2,0.3,0.77,0.49,2021,6
C1219943,ACC100765644,222366.12,27141.3,25407.33,0.52,0.97,0.85,2022,6
C5521085,ACC100842122,64020.4,9157.17,12313.1,0.49,0.82,NA,2022,1
C5430368,ACC100956826,120094.97,36993.94,16522.7,0.77,0.74,0.79,2021,4
C2416848,ACC100997469,227279.37,29369.35,31155.84,0.78,0.86,1.09,2022,4
C7935438,ACC100999992,150412.11,18282.82,19897.18,0.81,0.86,0.55,2021,6
C8736958,ACC101028023,281862.93,17678.92,46506.27,0.72,0.76,0.49,2021,6
C7648712,ACC101030473,292001.57,34542.06,34313.84,1.04,0.96,0.4,2021,6
C5652115,ACC101047515,231252.11,19363.22,73417.28,0.47,0.8,0.94,2021,6
C1889073,ACC101050550,103904.67,32782.45,28588.91,0.72,0.27,0.73,2021,1
C2043652,ACC101059939,259370.16,12875.43,31419.25,NA,0.78,0.48,2021,1
C7017047,ACC101138679,163375.98,43322.02,25367.63,0.8,0.58,0.59,2021,1
C1211387,ACC101155461,165086.94,20387.8,29561.41,0.44,0.79,1.09,2022,4
C4320949,ACC101179825,376138.26,19122.28,70956.92,0.48,0.51,0.92,2021,6
C2331533,ACC101206400,297640.97,44075.77,64482.61,0.71,0.45,0.57,2022,6
C5338459,ACC101214251,332109.67,15954.78,53891.51,1.05,0.57,0.53,2021,6
C5120181,ACC101221610,224891.33,25967.24,73881.06,0.84,0.77,0.88,2021,1
C5838935,ACC101304792,142659.71,30606.21,57457.69,0.99,0.93,0.59,2021,10
