Account_No	Loan_ID	Started_year	Started_date	Current Loan Amount	Monthly Debt	Interest.Rate	Maximum Open Credit
ACC100005454	47370-257954	2020	1/26/2020	445412	5214.74	18.49%	416746
ACC100026967	22331-212325	2019	7/22/2019	262328	33295.98	17.27%	850784
ACC100040113	47089-256771	2019	9/14/2019	135345	29200.53	14.33%	750090
ACC100080302	22126-218024	2020	3/30/2020	347666	8741.9	16.29%	386958
ACC100104482	17127-178586	2019	11/13/2019	176220	20639.7	12.23%	427174
ACC100135795	17688-182164	2019	9/20/2019	206602	16367.74	8.90%	272448
ACC100175746	18182-182165	2019	11/01/2019	217646	10855.08	22.47%	272052
ACC100184245	23359-229184	2020	3/19/2020	648714	14806.13	7.51%	864204
ACC100220970	30781-99022	2019	06/07/2019	548746	18660.28	12.99%	555038
ACC100223932	20423-205465	2019	2/20/2019	215952	39277.75	7.62%	1021460
ACC100290793	20424-205466	2020	03/11/2020	135345	11851.06	10.16%	289784
ACC100410370	1579-122101	2019	01/02/2019	541970	23568.55	9.99%	1634468
ACC100462080	32595-122105	2019	4/15/2019	135345	11578.22	14.22%	220220
ACC100463209	24191-236428	2019	10/17/2019	135345	17560.37	13.67%	496474
ACC100473144	24604-238367	2020	4/15/2020	234124	14211.24	10.74%	107052
ACC100525553	32029-110804	2020	4/23/2020	449020	18904.81	11.99%	428956
ACC100614541	29560-238539	2019	10/25/2019	653004	14537.09	21.00%	413754
ACC100619662	32239-100001	2019	12/02/2019	666204	17612.24	17.27%	2004618
ACC100623399	31719-103601	2019	11/15/2019	66396	9898.81	11.54%	402380
ACC100638292	20008-200004	2020	1/24/2020	390390	2478.55	7.88%	801812
ACC100675094	32767-131566	2020	01/11/2020	317108	9632.81	17.77%	126940
ACC100682458	3886-141408	2019	8/21/2019	128238	13202.15	12.12%	458788
ACC100691808	29539-254261	2020	3/21/2020	153252	21900.35	21.00%	1081014
ACC100702975	28809-251348	2019	7/17/2019	91894	5860.74	11.89%	230626
ACC100765644	34262-62540	2020	1/24/2020	244926	6812.26	13.47%	245014
ACC100842122	3178-141407	2020	03/06/2020	465410	15647.45	14.65%	488356
ACC100956826	34260-17877	2019	1/14/2019	135345	13817.18	24.89%	221232
ACC100997469	21605-213406	2020	03/02/2020	443960	25186.21	8.90%	905344
ACC100999992	1935-141406	2019	4/23/2019	135345	19247.19	7.62%	295240
ACC101028023	20113-195784	2019	4/16/2019	107404	19238.07	12.12%	58014
ACC101030473	34227-33225	2019	4/18/2019	135345	31039.54	11.89%	469172
ACC101047515	17361-180588	2019	9/22/2019	334620	16913.99	11.49%	539616
ACC101050550	15938-165686	2019	09/10/2019	130174	9311.71	16.82%	268818
ACC101059939	16453-170544	2019	6/15/2019	333564	18205.04	7.88%	515526
ACC101138679	24085-235545	2019	07/05/2019	109318	15524.9	15.58%	920524
ACC101155461	24932-239347	2020	04/07/2020	125796	20597.33	23.28%	997414
ACC101179825	18469-188844	2019	1/23/2019	135345	17046.23	15.80%	478126
ACC101206400	28810-251346	2020	4/23/2020	161172	3404.99	12.12%	170038
ACC101214251	1897-120044	2019	6/17/2019	259842	11792.73	6.54%	708818
ACC101221610	20772-207664	2019	06/04/2019	449108	13090.43	11.14%	458414
ACC101304792	2176-143834	2019	11/08/2019	688468	14697.07	11.71%	843854
ACC101308228	18530-169885	2020	01/04/2020	210166	13084.54	15.31%	483362
ACC101403044	24931-239348	2020	1/22/2020	327008	15419.45	12.12%	529738
ACC101427328	29306-253248	2020	2/22/2020	288948	5777.9	13.55%	164406
ACC101476439	17291-169884	2019	04/12/2019	311762	44601.74	13.61%	509652
ACC101493085	32640-131563	2020	3/25/2020	266112	12946.79	14.27%	485518
ACC101494614	34332-97778	2019	4/16/2019	129712	18199.15	13.11%	163218
ACC10149780	16257-166109	2019	08/08/2019	287980	16138.6	8.63%	489302
ACC101518574	1926-141411	2020	2/17/2020	439428	20923.56	9.32%	265716
ACC101534320	24510-238164	2019	1/18/2019	456808	14341.39	11.99%	278058
ACC101566236	17788-183965	2019	05/07/2019	518012	22667.38	16.89%	1080926
ACC101566727	22963-226644	2020	3/13/2020	219692	14207.63	17.27%	379918
ACC101592758	23197-228761	2020	05/06/2020	214874	20322.78	7.29%	402776
ACC101624506	23549-231166	2019	7/24/2019	374176	5163.25	23.83%	415602
ACC101627092	15060-156348	2020	1/15/2020	135345	34714.9	15.45%	1035496
ACC101641642	34291-80114	2020	2/18/2020	176198	28372.89	14.09%	620554
ACC101648448	27072-246650	2019	8/28/2019	78012	10135.36	12.12%	199936
ACC101655463	18751-188904	2020	03/12/2020	669372	34711.29	13.11%	638176
ACC101665843	18857-187024	2019	7/16/2019	130922	9761.25	15.80%	235488
ACC101701665	28908-251804	2020	1/21/2020	174548	30522.74	17.77%	128832
ACC1017083	32250-107405	2019	3/15/2019	290224	8230.99	16.32%	370480
ACC101736339	34211-17922	2019	6/30/2019	718784	15664.74	17.27%	489610
ACC101751158	34315-87671	2019	06/10/2019	152548	19164.54	9.88%	946000
ACC101798587	23213-228760	2019	07/08/2019	602008	48278.62	18.75%	11887678
ACC10179961	30780-154130	2019	05/06/2019	171248	42500.15	10.00%	151140
ACC101804570	25406-240945	2019	06/06/2019	523908	22632.99	6.62%	742720
ACC101805080	32329-111864	2019	4/26/2019	323466	27997.64	6.91%	743952
ACC101910479	32741-141410	2020	1/14/2020	751520	27204.01	8.90%	594880
ACC101911234	17787-183964	2019	02/01/2019	289388	9758.4	13.11%	1735030
ACC101922709	3183-143827	2019	8/19/2019	144562	19750.88	16.70%	1035408
ACC101991271	32571-107873	2020	3/27/2020	211222	8923.35	6.91%	397694
ACC101991796	23973-234507	2019	1/24/2019	162360	8560.83	15.99%	434654
ACC102007405	32144-123448	2019	3/27/2019	135345	48708.4	15.31%	449262
ACC102026593	34219-17920	2019	6/13/2019	311058	21378.8	17.27%	541596
ACC102055086	32476-106835	2019	2/20/2019	767536	53747.96	6.62%	2510112
ACC102139391	7073-204444	2019	11/10/2019	133034	30520.46	9.76%	1561406
ACC102160978	18026-187444	2020	2/28/2020	389884	42985.22	12.12%	562386
ACC102172086	34284-65720	2020	04/10/2020	163966	12778.26	19.22%	138248
ACC10217442	32117-116426	2019	05/02/2019	433312	22228.86	13.99%	613228
ACC102174484	20347-204885	2020	04/09/2020	135345	21494.89	7.40%	478060
ACC102184080	49595-270099	2019	3/15/2019	135345	9393.98	8.90%	1353858
ACC102197658	32292-111724	2019	7/24/2019	89320	13312.92	10.16%	216260
ACC102240326	4141-147544	2019	06/02/2019	392282	10396.42	9.63%	242946
ACC102253114	21600-213424	2020	3/13/2020	444620	15292.34	11.71%	522742
ACC102272113	47514-254743	2020	3/30/2020	262988	9348.38	7.90%	681296
ACC102293467	26471-239345	2019	09/12/2019	498586	32214.88	12.12%	433686
ACC102325941	25879-242844	2019	09/10/2019	378334	35695.3	13.48%	413402
ACC10233035	6137-116711	2019	6/30/2019	135345	15365.68	14.79%	1841796
ACC102339442	3173-122109	2020	4/16/2020	194942	25254.99	15.31%	339834
ACC102355309	23212-228759	2019	9/29/2019	731566	13429.96	5.42%	1070432
ACC102357704	34335-97976	2019	8/21/2019	479358	22659.59	17.27%	1391302
ACC102358915	1801-136467	2019	03/04/2019	336908	6652.47	7.90%	1119250
ACC102367958	31199-104340	2019	8/22/2019	270116	15649.92	9.76%	3996322
ACC102386591	31853-109684	2019	7/28/2019	156772	22591.38	11.14%	251548
ACC102410237	28811-251347	2020	3/29/2020	306548	11157.37	11.49%	387508
ACC102445746	6106-148051	2020	04/06/2020	432080	35360.14	7.68%	685982
ACC102447757	34317-95971	2020	1/14/2020	158818	8522.83	15.99%	756646
ACC102496875	32269-114734	2019	11/25/2019	78738	14034.92	5.79%	266112
ACC102498456	34337-97975	2020	02/11/2020	453464	17007.85	6.62%	222926
ACC102512534	4143-147546	2019	7/23/2019	595672	13603.43	12.12%	129624
ACC102548333	30954-99024	2019	6/18/2019	166672	16166.91	19.99%	267014
ACC102556533	1609-136468	2020	02/01/2020	132792	6132.25	13.85%	214742
ACC102561339	34249-62099	2020	04/08/2020	119504	11807.17	7.88%	104170
ACC102570451	23863-233552	2019	4/29/2019	33022	25234.47	9.91%	323928
ACC102599395	31338-103600	2019	03/07/2019	448976	10348.16	7.90%	1253340
